MatrixSize,Bandwidth_GBps
200,12.449228
360,44.849146
520,91.992812
680,155.893356
840,234.566925
1000,263.436546
1160,194.016151
1320,194.973097
1480,202.663025
1640,199.881158
1800,211.480169
1960,201.842255
2120,216.941526
2280,217.714091
2440,221.243443
2600,222.559737
2760,224.623848
2920,229.729576
3080,240.665264
3240,239.517351
3400,242.114483
3560,231.699742
3720,241.697503
3880,233.726144
4040,233.637301
4200,223.541355
4360,223.255355
4520,214.44799
4680,214.302884
4840,210.021424
5000,210.029298
